account_id,username_length,username_digit_ratio,has_profile_pic,bio_length,has_external_url,is_private,followers_count,following_count,follower_following_ratio,posts_count,avg_likes_per_post,avg_comments_per_post,posting_freq_per_week,account_age_days,engagement_rate,night_activity_ratio,graph_degree,clustering_coefficient,betweenness_centrality,is_fake
acc_0,13,0.078,1,104,1,0,596,942,0.633,57,2.4,0.08,5.26,1001,0.0041,0.076,107,0.0101,0.043663,0
acc_1,4,0.047,1,58,0,0,285,99,2.879,47,7.48,1.4,2.9,472,0.0311,0.315,65,0.0067,0.015231,0
acc_2,7,0.07,1,67,0,1,16,264,0.061,44,11.41,0.61,1.13,975,0.7513,0.128,10,0.0444,0.004114,0
acc_3,9,0.796,0,11,0,1,131,251,0.522,0,0.36,0.27,0.08,142,0.0048,0.624,111,0.0044,0.02858,1
acc_4,9,0.395,0,5,0,1,70,889,0.079,3,0.01,0.07,0.54,26,0.0012,0.759,268,0.0036,0.121052,1
acc_5,14,0.742,1,6,0,0,5,663,0.008,5,1.33,0.04,0.57,110,0.2735,0.698,170,0.0061,0.072727,1
acc_6,16,0.382,0,4,0,0,12,212,0.057,1,4.13,0.22,0.6,40,0.3625,0.6,210,0.0038,0.076325,1
acc_7,12,0.189,1,70,1,0,186,78,2.385,34,8.98,9.04,4.59,539,0.0969,0.06,179,0.0045,0.059724,0
acc_8,14,0.106,1,99,1,1,31,216,0.144,43,1.13,6.09,0.82,853,0.233,0.065,94,0.0048,0.027045,0
acc_9,7,0.005,1,31,0,1,460,31,14.839,42,60.15,2.6,1.3,2235,0.1364,0.097,69,0.006,0.013,0
acc_10,4,0.066,1,90,0,1,45,193,0.233,36,50.22,6.08,0.97,1195,1.0,0.33,80,0.0044,0.027366,0
acc_11,13,0.64,0,6,0,0,32,619,0.052,1,7.09,0.25,0.63,13,0.2293,0.512,33,0.0152,0.006401,1
acc_12,19,0.358,1,10,0,1,52,410,0.127,2,0.77,0.17,1.15,50,0.0181,0.453,115,0.0066,0.031419,1
acc_13,11,0.507,1,13,0,0,16,850,0.019,0,4.76,0.05,0.12,96,0.3004,0.84,42,0.0105,0.009015,1
acc_14,6,0.046,1,54,1,0,13,76,0.171,41,3.35,1.51,0.13,2960,0.3743,0.169,52,0.0106,0.011172,0
acc_15,5,0.165,1,103,0,1,18,48,0.375,56,65.07,2.65,2.17,1944,1.0,0.32,41,0.0085,0.004709,0
